Liga,67,87,58,96,40
Kede,25,23,19,27,84
Gigo,6,75,76,43,2
Roku,16,52,34,38,92
Leri,55,70,53,49,41
Sovu,41,18,35,64,2
Coku,41,22,34,71,16
Kizo,52,6,38,77,54
Taxo,10,54,33,65,49
Pini,69,36,89,38,88
Geze,88,5,77,88,52
Beye,90,55,74,45,88
Pufe,19,55,6,6,56
Qoma,14,78,32,94,3
Lava,38,80,60,84,21
Woye,35,7,2,50,42
Wure,57,11,38,40,44
Xalu,41,38,51,90,25
Dize,46,59,24,74,53
Vusa,32,73,91,70,22
Yawo,38,60,25,65,34
Cumi,2,6,86,69,72
Kozi,74,95,20,39,88
Wegu,72,73,12,20,36
Vegu,33,31,81,68,87
Koqe,26,66,48,41,16
Suho,27,82,74,48,68
Noko,88,6,98,3,8
Gaya,73,26,2,90,54
Huge,7,7,12,55,12
Lado,56,22,59,68,59
Juku,20,24,33,71,12
Mone,5,44,18,37,36
Luxa,44,2,90,32,81
Qilo,72,10,64,1,41
Kuya,86,37,69,17,87
Qudu,46,53,12,83,44
Daki,13,93,47,34,23
Bavo,20,55,79,65,60
Rubi,22,78,60,95,27
Turo,44,8,100,73,12
Qefo,91,48,23,9,74
Coxe,62,41,6,56,23
Qofo,87,27,69,25,1
Feka,83,58,82,67,13
Hugi,33,81,70,78,76
Gixa,26,86,28,98,11
Yuye,54,34,49,18,12
Lula,1,70,49,39,86
Luhi,35,49,89,65,47
Duta,40,34,16,25,73
Debo,63,24,48,48,48
Hisa,95,58,88,47,32
Doci,2,24,85,4,44
Zuko,99,7,59,24,45
Xucu,7,32,92,51,28
Xuro,15,26,88,32,77
Fiyo,24,12,6,32,12
Refo,13,63,69,55,52
Guci,97,95,92,55,51
Hulo,68,32,53,34,63
Rore,36,34,35,5,45
Naji,98,72,47,97,47
Seto,75,36,52,27,67
Kocu,63,76,89,2,2
Tolo,96,92,21,52,52
Riqa,10,54,22,71,77
Tiju,59,78,8,83,72
Nazo,54,55,54,12,41
Visa,56,9,57,67,68
Cebu,15,65,64,97,25
Homi,99,92,24,76,45
Gixi,57,40,9,18,84
Tenu,91,61,89,21,45
Fila,92,9,70,62,85
Duqi,51,17,77,43,8
Siwa,42,14,39,81,45
Jijo,91,2,93,22,79
Zebi,78,79,75,14,80
Rupi,10,68,96,56,34
Zelu,80,67,3,45,59
Boza,84,83,87,60,54
Heti,85,77,53,44,54
Faku,12,10,63,97,88
Ceka,96,71,2,31,5
Foyu,9,79,68,8,17
Cona,21,47,89,17,67
Tane,89,57,12,55,27
Momo,75,74,28,70,18
Riza,24,42,3,28,78
Logu,17,87,75,61,53
Hule,18,89,79,13,72
Wequ,31,65,68,43,96
Doti,75,34,7,28,92
Loro,64,32,28,20,55
Noxe,26,33,23,12,40
Nude,15,67,13,87,97
Toqa,83,86,54,41,51
Hiti,46,86,4,42,12
Nepo,78,11,11,5,72
Hilu,73,34,6,44,56
Noca,61,10,45,38,58
Jeko,82,77,89,50,6
Kabe,67,24,38,97,92
Lono,30,94,56,17,5
Mure,90,31,50,30,11
Wiku,57,93,36,6,95
Wani,57,26,20,75,18
Baxo,3,64,65,22,39
Mehi,99,41,15,69,54
Tufe,47,41,79,4,69
Moka,27,83,5,87,34
Sunu,87,60,42,3,65
Tuki,66,2,61,73,73
Nuro,79,95,53,42,48
Qike,73,90,49,8,63
Bupe,22,45,77,79,67
Topo,24,23,31,10,58
Nowu,89,51,1,1,66
Fobe,84,43,88,19,89
Talo,67,95,92,55,88
Fali,41,39,47,47,89
Yuxe,46,79,16,50,37
Zaxe,25,3,12,58,85
Rasa,8,4,20,17,18
Woya,34,40,78,50,14
Fofo,26,22,4,86,63
Tuha,3,31,32,55,56
Rixu,51,73,78,6,45
Xude,44,75,75,6,64
Giye,52,65,59,85,13
Muja,32,18,26,86,92
Zoca,85,50,95,70,10
Sele,99,6,14,18,66
Lijo,93,94,75,53,34
Suco,12,12,45,32,2
Moya,65,37,42,56,5
Sudi,84,79,83,26,80
Jeka,1,93,32,95,43
Huhi,67,76,40,31,11
Wagu,100,11,14,59,97
Ciko,31,31,60,76,28
Poda,82,73,79,37,46
Muqo,99,97,67,9,64
Zaje,90,93,81,15,9
Doba,93,8,78,82,19
Yefe,25,23,92,92,56
Huxe,65,43,2,43,44
Gejo,55,68,74,59,23
Sori,57,16,8,91,99
