Name,Tamil,English,Maths,Science,Social Science
Domo,20,44,25,62,64
Tani,20,36,10,26,52
Batu,8,4,59,36,78
Dahe,35,65,14,5,3
Kuze,85,81,86,71,48
Gica,29,78,74,14,95
Hike,54,96,59,57,21
Qupi,90,45,62,90,49
Tedu,15,67,50,32,21
Yoke,78,15,100,24,78
Hewi,65,60,56,35,33
Riti,27,19,48,31,100
Yida,19,14,25,92,43
Pamu,70,59,19,52,15
Zovu,37,74,26,32,21
Lefu,74,14,25,49,78
Poca,76,73,68,38,30
Sulu,99,68,20,33,31
Noye,72,4,83,14,22
Mawu,94,17,48,25,64
Fetu,28,73,17,79,77
Soda,90,61,75,35,20
Pozo,7,33,45,29,35
Biye,8,66,4,75,66
Qowa,43,56,91,44,58
Yupo,79,74,38,41,19
Coti,60,71,77,50,68
Fibe,77,99,85,28,46
Yizo,80,74,83,2,19
Rune,9,85,87,46,80
Cole,100,70,22,21,97
Yotu,28,88,33,65,86
Pefu,26,94,27,61,67
Kece,59,61,74,22,42
Lobi,29,27,9,25,13
Bibo,62,35,32,2,2
Fiha,75,1,46,2,61
Hija,41,1,60,98,27
Toso,39,23,50,19,15
Waxi,66,10,95,84,52
Sowi,49,61,32,76,83
Baxi,11,55,75,73,15
Gefe,60,14,67,84,34
Puze,74,25,29,19,27
Mihu,19,10,49,41,88
Bahi,61,83,4,20,2
Kira,79,22,49,28,59
Tufa,82,24,16,27,28
Mige,29,54,89,79,10
Ziso,45,54,30,35,8
Cide,56,16,42,98,97
Mafa,25,1,22,84,36
Moqe,61,24,81,95,88
Noju,37,28,29,31,39
Vobi,34,49,29,62,5
Mulo,38,43,3,52,20
Laru,40,63,78,49,70
Toli,18,70,67,81,19
Saki,21,65,51,77,84
Heqe,59,70,85,34,53
Nodi,1,22,19,31,63
Misa,80,73,40,87,52
Jolo,89,4,48,11,29
Ceri,15,2,69,24,84
Jaru,42,68,30,91,5
Jupi,62,50,62,78,17
Rupu,53,49,86,86,30
Niwo,85,87,44,26,75
Qici,72,7,52,43,4
Huca,57,91,28,20,68
Nufu,78,21,96,22,56
Vumu,89,97,70,40,91
Pono,57,3,4,28,85
Juje,81,36,26,74,81
Baja,31,44,70,54,40
Xodo,42,32,94,50,40
Kuji,38,44,25,72,24
Figu,91,37,91,65,52
Joqu,33,32,2,11,29
Heno,35,43,58,8,90
Qige,66,13,45,5,35
Veso,97,75,22,10,36
Cave,18,78,65,52,47
Neza,96,2,1,37,43
Faze,2,28,2,45,79
Boge,97,70,66,70,3
Xele,78,26,67,66,75
Hiva,66,88,29,100,30
Rago,32,98,7,40,69
Hafi,62,79,90,40,52
Kibi,44,41,88,44,29
Vuve,7,85,31,53,32
Yuyo,66,8,92,37,25
Soyo,28,75,29,63,69
Tehe,94,80,19,79,4
Neli,23,65,70,9,95
Lalu,84,92,97,5,83
Balu,17,97,13,37,31
Kaku,70,66,93,28,63
Gaso,97,67,39,17,95
Fipu,88,87,77,23,100
Cune,68,1,50,1,20
Site,64,68,69,90,6
Yuni,18,55,94,21,67
Guva,43,11,80,36,83
Xama,34,25,55,7,45
Qofo,86,37,72,5,90
Ranu,46,70,98,39,86
Jono,58,51,76,43,59
Hima,91,70,72,83,51
Fige,98,39,99,26,100
Qudi,52,47,92,83,69
Yabo,24,73,16,85,60
Dine,97,70,9,21,81
Rema,33,83,20,59,75
Ciwi,28,19,10,61,73
Rufe,16,81,39,2,43
Tuno,93,70,16,34,39
Suje,26,13,59,80,75
Ruka,47,91,57,75,58
Kaha,17,12,53,3,23
Zora,30,74,95,84,72
Lube,59,29,77,81,76
Toqe,91,58,60,42,13
Fada,24,75,84,49,95
Nujo,77,67,22,66,96
Gufo,43,84,27,28,80
Cewo,81,59,22,14,88
Joga,96,23,54,56,37
Nupa,26,10,20,23,52
Xeho,10,14,57,59,41
Ciwi,37,100,32,44,95
Ruwi,65,24,79,65,7
Fali,94,71,14,69,78
Qohe,50,32,82,26,6
Vana,52,66,51,73,38
Duwe,10,10,80,14,35
Nico,21,20,90,78,50
Maza,54,25,78,15,38
Muha,8,63,26,47,41
Bosu,67,78,65,96,13
Yuri,92,27,5,94,5
Pelu,4,59,6,69,22
Basa,51,100,22,23,95
Regu,69,8,78,56,35
Teku,22,28,47,58,45
Fehi,30,79,63,78,79
Gonu,64,22,90,77,89
Jiwo,14,16,48,46,26
